, Data element name,Usage [Cardinality],Segment Name,Field Identifier,HL7 V2 Field Name,"V2 value set, other notes",FHIR element location,Usage [Cardinality].1,"FHIR Value set, other notes",parsed,joined
0,Message Code,R [1..1],MSH,9.1,Message Type.Message Code,constant 'ADT',not applicable,,,"['not', 'applicable']",not applicable
1,Message Event,R [1..1],MSH,9.2,Message Type.Trigger Event,"Allowable values from https://terminology.hl7.org/CodeSystem-v2-0003.html:
A01
A02
A03
A09
A10",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-notifications-messageheader-definitions.html#MessageHeader.event[x]:eventCoding,R [1..1],https://hl7.org/fhir/us/davinci-alerts/2020FEB/ValueSet-notification-event.html,"['<a href=""StructureDefinition-notifications-messageheader.html"">Da Vinci Notifications MessageHeader Profile</a>.event[x]:eventCoding']","<a href=""StructureDefinition-notifications-messageheader.html"">Da Vinci Notifications MessageHeader Profile</a>.event[x]:eventCoding"
2,Transaction ID,R [1..1],MSH,10,Message Control ID,,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-notifications-bundle-definitions.html#Bundle.identifier.value - must also populate https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-notifications-bundle-definitions.html#Bundle.identifier.system to identify the assigning authority,R [1..1],,"['<a href=""StructureDefinition-notifications-bundle.html"">Da Vinci Notifications Bundle Profile</a>.identifier.value', '-', 'must', 'also', 'populate', '<a href=""StructureDefinition-notifications-bundle.html"">Da Vinci Notifications Bundle Profile</a>.identifier.system', 'to', 'identify', 'the', 'assigning', 'authority']","<a href=""StructureDefinition-notifications-bundle.html"">Da Vinci Notifications Bundle Profile</a>.identifier.value - must also populate <a href=""StructureDefinition-notifications-bundle.html"">Da Vinci Notifications Bundle Profile</a>.identifier.system to identify the assigning authority"
3,Version ID,R [1..1],MSH,12,Version ID,Constant '2.5.1',not applicable,,,"['not', 'applicable']",not applicable
4,Event Date/Time,R [1..1],EVN,2.1,Recorded Date/Time - Time,"Actual date and time of the event.
This guide requires the UTC offset [+/-ZZZZ]","For Admission (MSH-9.2 = A01 or A10) https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.period.start
For discharge or transfer (MSH-9.2 = A02 or A03 or A06 or A09) https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.period.end AND https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.status = ""finished""",RE [0..1],Mapping depends on the type of notification; in more generic use cases this would map into https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-provenance-definitions.html#Provenance.recorded,"['For', 'Admission', '(MSH-9.2', '=', 'A01', 'or', 'A10)', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.period.start\nFor', 'discharge', 'or', 'transfer', '(MSH-9.2', '=', 'A02', 'or', 'A03', 'or', 'A06', 'or', 'A09)', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.period.end', 'AND', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.status', '=', '""finished""']","For Admission (MSH-9.2 = A01 or A10) <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.period.start
For discharge or transfer (MSH-9.2 = A02 or A03 or A06 or A09) <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.period.end AND <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.status = ""finished"""
5,"Treating Facility NPI
(Type 2 NPI)",R [1..1],EVN,7.2,"Event Facility - Universal ID, when EVN-7.3 is valued 'NPI'",Note: The code 'NPI' is available in http://terminology.hl7.org/CodeSystem/v2-0301 version 2.9.1,"https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.serviceProvider referencing https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.value, where https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.system is valued 'http://hl7.org/fhir/sid/us-npi'",O [0..1],Mapping depends on the type of notification; in more generic use cases this would map into https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-provenance-definitions.html#Provenance.location,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.serviceProvider', 'referencing', 'https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.value,', 'where', 'https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.system', 'is', 'valued', ""'http://hl7.org/fhir/sid/us-npi'""]","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.serviceProvider referencing https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.value, where https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.system is valued 'http://hl7.org/fhir/sid/us-npi'"
6,Patient ID,R [1..*],PID,3.1,Patient Identifier List.ID Number,"Note that the cardinality here is for the element PID-3, not the subcomponent, so if you have more than one patient identifier each patient identifier must have its own patient identifier type (in PID-3.5)",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.identifier.value,R [1..1],"the element patient.identifier can repeat , but within one occurrence this element can only be used once
MUST also populate: https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.identifier.system","['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.identifier.value']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.identifier.value"
7,Patient ID Type,R [1..*],PID,3.5,Patient Identifier List.ID Type,"Note that the cardinality here is for the element PID-3, not the subcomponent. This subcoponent is only R, when more than 1 occurences of PID-3 are sent, else it is assumed to be 'MRN'",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.identifier.type,RE [0..1],"the element patient.identifier can repeat , but within one occurrence this element can only be used once","['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.identifier.type']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.identifier.type"
8,Patient SSN Last 4 digits,O [0..1],PID,3.1,"Patient Identifier List.ID Number, when PID-3.5 = 'SS'",NOTE: Limit to last 4 digits,"https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.identifier.value, where https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.identifier.type.code is valued 'SS' - but would need to extend the current https://hl7.org/fhir/R4/valueset-identifier-type.html valueset",O [0..1],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.identifier.value,', 'where', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.identifier.type.code', 'is', 'valued', ""'SS'"", '-', 'but', 'would', 'need', 'to', 'extend', 'the', 'current', 'https://hl7.org/fhir/R4/valueset-identifier-type.html', 'valueset']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.identifier.value, where <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.identifier.type.code is valued 'SS' - but would need to extend the current https://hl7.org/fhir/R4/valueset-identifier-type.html valueset"
9,"Patient First Name
",R [1..*],PID,5.2,Patient Name.Given Name,"HL7 PID-5 element can repeat to support more than one name, but components do not repeat.
The Patient’s Legal Name should be sent in the first repetition of PID-5",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.name.given,R [1..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.given']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.given"
